Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,402.69,422.98,401.22,420.80,13112400,420.80
2013-06-24,407.40,408.66,388.87,396.53,14845600,396.53
2013-06-17,431.44,435.70,408.10,413.50,11455700,413.50
2013-06-10,444.73,449.08,428.50,430.05,11137000,430.05
2013-06-03,450.73,454.43,432.77,441.81,12693800,441.81
2013-05-28,449.90,457.10,439.40,449.73,12987000,449.73
2013-05-20,431.91,448.35,430.10,445.15,14141600,445.15
2013-05-13,451.51,457.90,418.90,433.26,18119900,433.26
2013-05-06,455.71,465.75,450.48,452.97,15616600,452.97
2013-04-29,420.45,453.23,420.00,449.98,18727800,447.02
2013-04-22,392.64,418.77,391.27,417.20,22948100,414.46
2013-04-15,427.00,427.89,385.10,390.53,20313700,387.96
2013-04-08,424.85,437.99,422.49,429.80,11073900,426.97
2013-04-01,441.90,443.70,419.68,423.20,14461500,420.42
2013-03-25,464.69,469.95,441.62,442.66,14013400,439.75
2013-03-18,441.45,462.10,441.20,461.91,15857100,458.87
2013-03-11,429.75,444.23,425.14,443.66,16382300,440.74
2013-03-04,427.80,435.43,419.00,431.72,18152800,428.88
2013-02-25,453.85,455.12,429.98,430.47,16688500,427.64
2013-02-19,461.10,462.73,442.82,450.81,15088600,447.85
2013-02-11,476.50,484.94,459.92,460.16,16776900,457.13
2013-02-04,453.91,478.81,442.00,474.98,21299300,471.86
2013-01-28,437.83,462.60,435.86,453.62,18804600,448.03
2013-01-22,504.56,514.99,435.00,439.88,35642200,434.46
2013-01-14,502.68,510.75,483.38,500.00,23059900,493.83
2013-01-07,522.00,531.89,515.20,520.30,16443700,513.88
2012-12-31,510.53,555.00,509.00,527.00,19350900,520.50
2012-12-24,520.35,524.25,504.66,509.59,11496300,503.31
2012-12-17,508.93,534.90,501.23,519.33,20790100,512.93
2012-12-10,525.00,549.56,505.58,509.79,23891500,503.50
2012-12-03,593.65,594.59,518.63,533.25,28073100,526.67
2012-11-26,575.90,594.25,572.26,585.28,18505600,578.06
2012-11-19,540.71,572.00,539.88,571.50,18856200,564.45
2012-11-12,554.15,554.50,505.75,527.68,25590900,521.17
2012-11-05,583.52,590.74,533.72,547.06,26312500,540.31
2012-10-31,594.88,603.00,574.75,576.80,17508000,567.10
2012-10-22,612.42,635.38,591.00,604.00,24908300,593.84
2012-10-15,632.35,652.79,609.62,609.84,18514400,599.58
2012-10-08,646.88,647.56,623.55,629.71,21378800,619.12
2012-10-01,671.16,676.75,650.65,652.59,18290000,641.61
2012-09-24,686.86,695.12,660.35,667.10,20459000,655.88
2012-09-17,699.35,705.07,693.62,700.09,14332600,688.31
2012-09-10,680.45,696.98,656.00,691.28,20736000,679.65
2012-09-04,665.76,682.48,664.50,680.44,12724300,668.99
2012-08-27,679.99,680.87,657.25,665.24,10987500,654.05
2012-08-20,650.01,674.88,648.11,663.22,20349200,652.06
2012-08-13,623.39,648.19,623.25,648.11,11240200,637.21
2012-08-06,617.29,625.00,615.26,621.70,8955900,611.24
2012-07-30,590.92,617.98,587.82,615.70,13593200,602.75
2012-07-23,594.40,609.68,570.00,585.16,19578500,572.86
2012-07-16,605.12,615.35,603.15,604.30,12013700,591.59
2012-07-09,605.30,619.87,592.68,604.97,15001100,592.25
2012-07-02,584.73,614.34,583.60,605.88,13795700,593.14
2012-06-25,577.30,584.00,565.61,584.00,10630300,571.72
2012-06-18,570.96,590.00,570.37,582.10,12654100,569.86
2012-06-11,587.72,588.50,566.70,574.13,14293200,562.06
2012-06-04,561.50,580.58,548.50,580.32,14813900,568.12
2012-05-29,570.90,581.50,560.52,560.99,17166000,549.19
2012-05-21,534.50,576.50,534.05,562.29,19540000,550.47
2012-05-14,562.57,567.51,522.18,530.38,20281200,519.23
2012-05-07,561.50,575.88,558.73,566.71,15505800,554.79
2012-04-30,597.80,598.40,565.17,565.25,17607600,553.37
2012-04-23,570.61,618.00,555.00,603.00,27794600,590.32
2012-04-16,610.06,620.25,570.42,572.98,34975300,560.93
2012-04-09,626.13,644.00,603.51,605.23,26127500,592.50
2012-04-02,601.83,634.66,600.38,633.68,23635600,620.36
2012-03-26,599.79,621.45,595.26,599.55,22840000,586.94
2012-03-19,598.37,609.65,589.05,596.05,24402100,583.52
2012-03-12,548.98,600.01,547.00,585.57,32158400,573.26
2012-03-05,545.42,547.74,516.22,545.17,23951800,533.71
2012-02-27,521.31,548.21,516.28,545.18,22964000,533.72
2012-02-21,506.88,522.90,504.12,522.41,18499900,511.43
2012-02-13,499.53,526.29,486.63,502.12,28314900,491.56
2012-02-06,458.38,497.62,458.20,493.42,17778800,483.05
2012-01-30,445.71,460.00,445.39,459.68,10817600,450.02
2012-01-23,422.67,454.45,419.55,447.28,17397900,437.88
