Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,886.45,892.08,877.27,886.43,1554400,886.43
2013-06-24,871.88,884.69,863.25,880.37,2335400,880.37
2013-06-17,879.23,910.84,873.07,880.93,2916600,880.93
2013-06-10,882.10,891.00,865.50,875.04,2123000,875.04
2013-06-03,873.00,880.00,847.22,879.73,2340900,879.73
2013-05-28,883.50,892.14,864.29,871.22,2090200,871.22
2013-05-20,905.00,920.60,871.01,873.32,2277600,873.32
2013-05-13,878.89,919.98,873.38,909.18,2603000,909.18
2013-05-06,848.26,880.54,848.26,880.23,2133300,880.23
2013-04-29,803.25,846.80,803.00,845.72,2118600,845.72
2013-04-22,800.60,818.00,775.00,801.42,2296900,801.42
2013-04-15,785.95,803.44,761.26,799.87,3071500,799.87
2013-04-08,778.75,793.10,768.40,790.05,2126600,790.05
2013-04-01,795.01,814.83,776.40,783.05,2293700,783.05
2013-03-25,812.41,819.23,793.30,794.19,1838700,794.19
2013-03-18,805.00,819.25,801.47,810.31,1673200,810.31
2013-03-11,831.69,839.70,813.34,814.30,1999000,814.30
2013-03-04,805.30,844.00,805.00,831.52,2931400,831.52
2013-02-25,802.30,808.41,784.40,806.19,2194700,806.19
2013-02-19,795.99,808.97,791.22,799.71,2814000,799.71
2013-02-11,778.40,793.26,773.75,792.89,1938000,792.89
2013-02-04,767.69,786.67,758.27,785.37,2569900,785.37
2013-01-28,751.76,776.60,746.54,775.60,2097500,775.60
2013-01-22,704.66,758.48,695.52,753.67,3827500,753.67
2013-01-14,737.00,742.20,701.33,704.51,2850600,704.51
2013-01-07,735.45,745.00,724.43,739.99,1695400,739.99
2012-12-31,700.00,741.47,696.00,737.97,2405100,737.97
2012-12-24,714.51,715.18,698.61,700.01,1268100,700.01
2012-12-17,705.50,729.10,704.02,715.63,2628300,715.63
2012-12-10,685.39,716.47,683.79,701.96,2411000,701.96
2012-12-03,702.24,705.89,682.33,684.21,1885600,684.21
2012-11-26,666.44,699.22,658.00,698.37,2739000,698.37
2012-11-19,655.70,678.00,655.53,667.97,1872900,667.97
2012-11-12,663.75,669.80,636.00,647.18,1991100,647.18
2012-11-05,684.50,686.86,650.30,663.03,2232400,663.03
2012-10-31,679.86,695.55,675.00,687.92,1970500,687.92
2012-10-22,681.01,687.33,669.70,675.15,2764100,675.15
2012-10-15,741.94,759.42,672.00,681.79,6258900,681.79
2012-10-08,761.00,763.58,738.29,744.75,2357900,744.75
2012-10-01,759.05,774.38,750.27,767.65,2671300,767.65
2012-09-24,731.00,764.89,730.25,754.50,4401900,754.50
2012-09-17,708.11,734.92,705.00,733.99,3187900,733.99
2012-09-10,709.76,713.00,680.88,709.68,2470700,709.68
2012-09-04,684.55,712.25,673.50,706.15,2468500,706.15
2012-08-27,662.99,688.99,659.24,685.09,2283300,685.09
2012-08-20,675.50,680.60,662.17,678.63,1820000,678.63
2012-08-13,647.42,677.25,646.68,677.14,2647100,677.14
2012-08-06,639.61,649.38,636.13,642.00,1518200,642.00
2012-07-30,636.05,643.72,623.41,641.33,1954300,641.33
2012-07-23,600.48,635.00,598.25,634.96,2525800,634.96
2012-07-16,576.37,612.94,568.40,610.82,3165800,610.82
2012-07-09,584.95,592.43,562.09,576.52,2284600,576.52
2012-07-02,581.82,600.06,576.50,585.98,1838100,585.98
2012-06-25,567.33,580.13,557.21,580.07,1812900,580.07
2012-06-18,562.62,584.28,559.25,571.48,2231800,571.48
2012-06-11,584.21,585.32,556.52,564.51,2637100,564.51
2012-06-04,570.22,587.89,566.47,580.45,2007400,580.45
2012-05-29,595.81,599.13,568.35,570.98,2634600,570.98
2012-05-21,600.51,615.69,588.28,591.53,2955700,591.53
2012-05-14,600.78,637.85,596.70,600.40,3617700,600.40
2012-05-07,595.00,616.90,595.00,605.23,2127100,605.23
2012-04-30,612.99,616.08,596.81,596.97,2019300,596.97
2012-04-23,592.90,618.00,590.20,614.98,1935300,614.98
2012-04-16,623.00,623.81,595.83,596.06,3547700,596.06
2012-04-09,628.48,653.14,623.54,624.60,4155900,624.60
2012-04-02,640.77,647.95,628.57,632.32,2068800,632.32
2012-03-26,645.00,658.59,639.54,641.24,2120000,641.24
2012-03-19,623.12,648.80,621.24,642.59,2106600,642.59
2012-03-12,600.00,625.91,599.26,625.04,2467400,625.04
2012-03-05,620.43,622.49,593.84,600.25,2009600,600.25
2012-02-27,606.59,625.70,605.06,621.25,2321800,621.25
2012-02-21,603.87,617.88,600.35,609.90,2109600,609.90
2012-02-13,610.50,613.84,597.73,604.64,2205100,604.64
2012-02-06,595.01,614.50,594.01,605.91,2439600,605.91
2012-01-30,578.05,597.07,573.40,596.33,2475300,596.33
2012-01-23,586.00,588.66,564.55,579.98,3660000,579.98
2012-01-17,631.98,640.99,581.70,585.99,5388100,585.99
2012-01-09,646.50,647.00,616.91,624.99,3360100,624.99
2012-01-03,652.94,670.25,649.79,650.02,3129000,650.02
2011-12-27,632.05,646.76,632.00,645.90,1772800,645.90
2011-12-19,628.01,634.68,618.96,633.14,2061100,633.14
2011-12-12,621.88,636.56,612.49,625.96,3396700,625.96
2011-12-05,627.64,631.90,615.30,627.42,2592100,627.42
2011-11-28,579.37,624.00,576.50,620.36,3152800,620.36
2011-11-21,587.76,588.50,561.33,563.00,2323700,563.00
2011-11-14,608.00,618.30,593.75,594.88,3050800,594.88
2011-11-07,593.32,614.37,591.56,608.35,3388600,608.35
2011-10-31,595.09,599.74,576.75,596.14,2661600,596.14
2011-10-24,586.72,602.70,572.86,600.14,3025700,600.14
2011-10-17,583.72,592.75,577.40,590.49,3502100,590.49
2011-10-10,525.18,599.60,523.20,591.68,4514100,591.68
2011-10-03,509.85,520.50,480.60,515.12,3889500,515.12
2011-09-26,527.25,547.05,513.25,515.04,2707700,515.04
2011-09-19,540.35,558.52,514.00,525.51,2987800,525.51
2011-09-12,517.96,546.84,517.50,546.68,2842800,546.68
2011-09-06,510.80,539.10,510.50,524.85,2780200,524.85
2011-08-29,534.56,546.30,520.73,524.84,2566900,524.84
2011-08-22,504.00,537.27,494.53,526.86,3947300,526.86
2011-08-15,553.43,564.99,490.86,490.92,5972800,490.92
2011-08-08,562.98,574.61,541.01,563.77,5464100,563.77
2011-08-01,611.22,615.50,562.00,579.04,4367200,579.04
2011-07-25,613.36,627.50,603.00,603.69,3330900,603.69
2011-07-18,592.49,619.50,592.00,618.23,3332200,618.23
2011-07-11,528.18,600.25,525.50,597.62,5770400,597.62
2011-07-05,525.30,550.68,525.30,531.99,3812600,531.99
2011-06-27,474.00,521.18,473.60,521.03,2913500,521.03
2011-06-20,485.00,493.94,473.02,474.88,3361600,474.88
2011-06-13,510.00,514.08,484.80,485.02,2968900,485.02
2011-06-06,523.54,526.82,509.29,509.51,1926400,509.51
2011-05-31,525.00,533.20,521.50,523.08,2399000,523.08
2011-05-23,516.60,523.96,513.40,520.90,1873100,520.90
2011-05-16,526.31,536.54,515.03,524.03,2600200,524.03
2011-05-09,535.00,544.43,529.05,529.55,1977400,529.55
2011-05-02,545.70,545.73,529.63,535.30,2077200,535.30
2011-04-25,525.25,544.10,522.01,544.10,2731500,544.10
2011-04-18,526.42,530.88,519.00,525.10,3313500,525.10
2011-04-11,576.20,579.45,530.06,530.70,5102600,530.70
2011-04-04,593.00,594.74,565.68,578.16,3040700,578.16
2011-03-28,582.07,595.19,573.01,591.80,1977600,591.80
2011-03-21,570.22,588.39,569.02,579.74,2336200,579.74
2011-03-14,572.80,578.29,551.28,561.06,3363600,561.06
2011-03-07,600.55,603.69,573.33,576.71,2811700,576.71
2011-02-28,610.00,619.22,595.19,600.62,2517500,600.62
2011-02-22,620.03,624.93,601.35,610.04,2793400,610.04
2011-02-14,623.34,631.18,620.04,630.08,2120100,630.08
2011-02-07,610.16,625.00,609.21,624.50,2052200,624.50
